,Unnamed: 0.1,Unnamed: 0,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
10,10,10,o raok andalsi..,0.6825301051139832,"[[1344.0, 233.0], [1486.0, 233.0], [1486.0, 277.0], [1344.0, 277.0]]",POINT (1415 255),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9199559,106.9313408,CILOK PEDAS RACIKAN PILISI SUKABUMI,Kafe,Telepon: 0877-3015-6549 ,"Alamat: Jl. Ir. H. Juanda No.4, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/CILOK+PEDAS+RACIKAN+PILISI+SUKABUMI/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68495ceb11cfd1:0x872031ef3fb22ef!8m2!3d-6.9199559!4d106.9313408!16s%2Fg%2F11fd6cjtnt?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
11,11,11,and coffee bar,0.9986479878425598,"[[1004.0, 275.0], [1100.0, 275.0], [1100.0, 295.0], [1004.0, 295.0]]",POINT (1052 285),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.919988,106.9310191,Dago House Food and Coffee Bar,Kedai Kopi,Telepon: 0815-6320-2477 ,"Alamat: Jl. Ir. H. Juanda No.5, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Tempat nongkrong yg nyaman menu ramah kantong,5 hari lalu,5 bintang,"https://www.google.com/maps/place/Dago+House+Food+and+Coffee+Bar/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483727328813:0x60849e2174dde142!8m2!3d-6.919988!4d106.9310191!16s%2Fg%2F11gcn1kwc5?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
12,12,12,enzy enterprise,0.9739335179328918,"[[247.0, 304.0], [381.0, 314.0], [379.0, 341.0], [245.0, 332.0]]",POINT (312.59611231101513 322.72012239020876),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9200488,106.9299775,Enzy Enterprise,Toko Game,Telepon: 0818-0834-0068 ,"Alamat: Sukabumi Indah Plaza, Jl. R. E. Martadinata, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Enzy+Enterprise/@-6.9200488,106.9296557,20z/data=!4m6!3m5!1s0x2e684836d51c5c11:0xc7db2591c45f07b0!8m2!3d-6.9200488!4d106.9299775!16s%2Fg%2F1pzsrqgg9?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
13,13,13,o alam printing,0.9227112531661988,"[[516.0, 309.0], [632.0, 309.0], [632.0, 331.0], [516.0, 331.0]]",POINT (574 320),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
14,14,14,acell kuota,0.9849376082420348,"[[1084.0, 333.0], [1180.0, 333.0], [1180.0, 355.0], [1084.0, 355.0]]",POINT (1132 344),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9200705,106.9310553,Acell kuota,Toko,Telepon: 0838-0808-2425 ,"Alamat: Jl. Ir. H. Juanda No.1-13, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Buat nongkrong sore
Tapi tetap patuhi protokol kesehatan pemerintah",3 tahun lalu,3 bintang,"https://www.google.com/maps/place/Acell+kuota/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849f0f267ef71:0x390959ed29c6dcdd!8m2!3d-6.9200705!4d106.9310553!16s%2Fg%2F11jpnmlz3_?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
15,15,15,maannad',0.5723879337310791,"[[405.0, 352.0], [517.0, 357.0], [515.0, 393.0], [403.0, 388.0]]",POINT (460 372.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9201147,106.930158,McDonald's Sukabumi indah plaza,Restoran Cepat Saji,Telepon: (0266) 210999 ,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: mcdonalds.co.id ,,11 bulan lalu,5 bintang,"https://www.google.com/maps/place/McDonald's+Sukabumi+indah+plaza/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848372b715cff:0x65bf29fae2e413a1!8m2!3d-6.9201147!4d106.930158!16s%2Fg%2F1thzr60q?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
16,16,16,sukabum,0.9993511438369752,"[[344.0, 369.0], [404.0, 369.0], [404.0, 389.0], [344.0, 389.0]]",POINT (374 379),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
17,17,17,ai - cha ice cream &,0.9903503656387328,"[[970.0, 383.0], [1110.0, 383.0], [1110.0, 403.0], [970.0, 403.0]]",POINT (1040 393),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9201523,106.9309982,AI - CHA ICE CREAM & TEA DAGO SUKABUMI,Toko Es Krim,,"Alamat: 3WHJ+W9Q, Jl. Ir. H. Juanda, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Tempatnya gerah, es nya cepet cair, ga nyampe 3 menit, karyawan nya kasih vitamun dulu tuh",4 minggu lalu,1 bintang,"https://www.google.com/maps/place/AI+-+CHA+ICE+CREAM+%26+TEA+DAGO+SUKABUMI/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849dc12c144bb:0xaa7ae9af2a9706f2!8m2!3d-6.9201523!4d106.9309982!16s%2Fg%2F11l6t0n4_2?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
18,18,18,o sd mardi waluya,0.941210925579071,"[[1324.0, 379.0], [1460.0, 379.0], [1460.0, 399.0], [1324.0, 399.0]]",POINT (1392 389),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9201313,106.9312811,SD Mardi Waluya,Sekolah Dasar,Telepon: (0266) 221398 ,"Alamat: Jl. Ir. H. Juanda No.2, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,5 bulan lalu,5 bintang,"https://www.google.com/maps/place/SD+Mardi+Waluya/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483724d48895:0x61f3c908e3694ef4!8m2!3d-6.9201313!4d106.9312811!16s%2Fg%2F1hm2f_31w?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
19,19,19,youll eat chicken roasted,0.9522948861122132,"[[496.0, 411.0], [688.0, 411.0], [688.0, 437.0], [496.0, 437.0]]",POINT (592 424),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9201793,106.9301713,you'll eat chicken roasted,Restoran Masakan Ayam,Telepon: 0877-2172-1888 ,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: instagram.com ,ENAK BANGETT GUYSS😋😋 …,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/you'll+eat+chicken+roasted/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6849c39fd5a815:0xd3db2688be8ce90f!8m2!3d-6.9201793!4d106.9301713!16s%2Fg%2F11jzhdj0p9?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
20,20,20,o point b,0.846184492111206,"[[247.0, 426.0], [324.0, 431.0], [323.0, 453.0], [246.0, 448.0]]",POINT (285 439.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.920201,106.9298313,Misskitty Service Point Bellezkin Sukabumi Cabang 2,Pusat Perbelanjaan,Telepon: 0815-6320-5235 ,"Alamat: 3WHH+WW8, Jl. R. E. Martadinata, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Semoga berhasil, Nona",5 tahun lalu,5 bintang,"https://www.google.com/maps/place/Misskitty+Service+Point+Bellezkin+Sukabumi+Cabang+2/@-6.9201982,106.9295099,20z/data=!4m6!3m5!1s0x2e6849410c6190b5:0x171022b8c9fd91d7!8m2!3d-6.920201!4d106.9298313!16s%2Fg%2F11g0g_01p_?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
21,21,21,ojne agen dago,0.9252933859825134,"[[1108.0, 433.0], [1250.0, 433.0], [1250.0, 460.0], [1108.0, 460.0]]",POINT (1179 446.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202055,106.9309867,JNE AGEN DAGO,Kantor Perusahaan,Telepon: 0857-0300-0030 ,"Alamat: Jalan Ir. H. Juanda, No.52, Cikole, Depan Gerbang, SMP Mardi, Waluya, Gunungparang, Cikole, Sukabumi City, West Java 43111 ",,,7 bulan lalu,5 bintang,"https://www.google.com/maps/place/JNE+AGEN+DAGO/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68483721348319:0xe0e12a6f2d1a776!8m2!3d-6.9202055!4d106.9309867!16s%2Fg%2F11gf390l74?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
22,22,22,o smp mardi waluya 2,0.9439650774002076,"[[1312.0, 448.0], [1470.0, 448.0], [1470.0, 468.0], [1312.0, 468.0]]",POINT (1391 458),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.920239,106.9313409,SMP Mardi Waluya 2,Sekolah Menengah Pertama,Telepon: 0811-1502-322 ,"Alamat: Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,9 bulan lalu,5 bintang,"https://www.google.com/maps/place/SMP+Mardi+Waluya+2/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68497b9215fc43:0x579cb59d0fb318e5!8m2!3d-6.920239!4d106.9313409!16s%2Fg%2F11pg5p36yj?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
23,23,23,handy in bea,0.9657413363456726,"[[388.0, 470.0], [474.0, 470.0], [474.0, 490.0], [388.0, 490.0]]",POINT (431 480),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202438,106.9302124,Handy In Beauty Care,Spa Kesehatan,Telepon: 0819-0861-0776 ,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,3 bulan lalu,5 bintang,"https://www.google.com/maps/place/Handy+In+Beauty+Care/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848372a5073e7:0x703349248d34fe13!8m2!3d-6.9202438!4d106.9302124!16s%2Fg%2F11f016rnzf?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
24,24,24,.,0.916862428188324,"[[574.0, 474.0], [592.0, 474.0], [592.0, 490.0], [574.0, 490.0]]",POINT (583 482),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
25,25,25,sukabumi,0.990956962108612,"[[597.0, 480.0], [666.0, 485.0], [665.0, 499.0], [596.0, 494.0]]",POINT (631 489.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202545,106.9302665,Aqiqah Almaidah Sukabumi,Katering,Telepon: 0816-277-999 ,"Alamat: Indah plaza, Jl. R. E. Martadinata No.25 lantai dasar, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: aqiqahsukabumi.net ,"gak nyesel sudah mempercayakan aqiqah disini, kenapa baru tau di anak ke 2, rekomended pokonya, bayar satset tau tau nyampe rumah udah jadi, gratis ongkir dan yang terpenting juga masakannya enak, gulai kambingnya the best,",sebulan lalu,5 bintang,"https://www.google.com/maps/place/Aqiqah+Almaidah+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68492661d615c5:0x65248b3bb6a63345!8m2!3d-6.9202545!4d106.9302665!16s%2Fg%2F11q4bqqb9k?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
26,26,26,tekun.id sukabumi o,0.9730782508850098,"[[984.0, 472.0], [1130.0, 472.0], [1130.0, 500.0], [984.0, 500.0]]",POINT (1057 486),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
27,27,27,ochi racing team,0.9636189341545104,"[[130.0, 506.0], [254.0, 506.0], [254.0, 520.0], [130.0, 520.0]]",POINT (192 513),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202934,106.9296155,MOCHI RACING TEAM,Taman bermain,,"Alamat: Jl. R. E. Martadinata No.31, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/MOCHI+RACING+TEAM/@-6.9202934,106.9292936,20z/data=!4m6!3m5!1s0x2e68491bf792b8db:0xd452a5d8294c1bb3!8m2!3d-6.9202934!4d106.9296155!16s%2Fg%2F11tg5crj9z?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
28,28,28,bruncl,0.9814350605010986,"[[372.0, 510.0], [402.0, 510.0], [402.0, 524.0], [372.0, 524.0]]",POINT (387 517),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202841,106.9300322,Pempek Masayu_69,Kedai Sarapan & Makan Siang,Telepon: 0858-6173-5418 ,"Alamat: Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat ",,,,,"https://www.google.com/maps/place/Pempek+Masayu_69/@-6.9202871,106.9297318,20z/data=!4m6!3m5!1s0x2e68492f2aa65c21:0x9abd037cb88bacc7!8m2!3d-6.9202841!4d106.9300322!16s%2Fg%2F11rd86hkz_?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
29,29,29,er bangor,0.9787365794181824,"[[1212.0, 522.0], [1272.0, 522.0], [1272.0, 536.0], [1212.0, 536.0]]",POINT (1242 529),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.920334,106.931043,Burger Bangor Cikole Sukabumi,Restoran Hamburger,Telepon: 0815-7000-854 ,"Alamat: Jl. Ir. H. Juanda No.4, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,sebulan lalu,5 bintang,"https://www.google.com/maps/place/Burger+Bangor+Cikole+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68494ed87ecad3:0x1237b9b221378cf6!8m2!3d-6.920334!4d106.931043!16s%2Fg%2F11sg1zwzzc?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
30,30,30,o opang m,0.8590912222862244,"[[510.0, 582.0], [600.0, 582.0], [600.0, 604.0], [510.0, 604.0]]",POINT (555 593),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9204023,106.9301821,OPANG MCD,Taman,,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/OPANG+MCD/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68498d5b5e1a95:0xa52af2e1fb17adc2!8m2!3d-6.9204023!4d106.9301821!16s%2Fg%2F11v074tvdc?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
31,31,31,ntor dinas perhutani,0.9790417551994324,"[[704.0, 596.0], [828.0, 594.0], [828.0, 614.0], [704.0, 616.0]]",POINT (766 605),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.920427,106.93038,Kantor Dinas Perhutani KPH Sukabumi,Kantor Pemerintah,Telepon: (0266) 221560 ,"Alamat: Jl. R. E. Martadinata No.27, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: perhutani.co.id ,Nyaman,3 tahun lalu,5 bintang,"https://www.google.com/maps/place/Kantor+Dinas+Perhutani+KPH+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684836d4f675f7:0xfc16f5c7ce377362!8m2!3d-6.920427!4d106.93038!16s%2Fg%2F1pzrpf6kz?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
32,32,32,gourmet coffeenery,0.9491196870803832,"[[874.0, 590.0], [1036.0, 590.0], [1036.0, 616.0], [874.0, 616.0]]",POINT (955 603),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9204149,106.930855,Gourmet Coffeenery,Kedai Kopi,Telepon: (0266) 6228348 ,"Alamat: Jl. R. E. Martadinata No.31, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: linktr.ee ,"Selain makanannya enak dan berkualitas, pelayanannya disini bagus bangetttt.. Terimakasih, ya!",5 hari lalu,5 bintang,"https://www.google.com/maps/place/Gourmet+Coffeenery/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68495873ecbca3:0x241bd6a840a6d0c4!8m2!3d-6.9204149!4d106.930855!16s%2Fg%2F11f5qdgldk?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
33,33,33,d,0.5916901230812073,"[[1154.0, 604.0], [1176.0, 604.0], [1176.0, 624.0], [1154.0, 624.0]]",POINT (1165 614),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9204309,106.9310458,Tugu Kusukabumiku,Pembuat monumen,,"Alamat: 3WHJ+RCF, Jl. Ir. H. Juanda, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Mantap kota sukabumi,4 bulan lalu,5 bintang,"https://www.google.com/maps/place/Tugu+Kusukabumiku/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848369641631f:0x437c7cfb4f881d91!8m2!3d-6.9204309!4d106.9310458!16s%2Fg%2F11c1s1qs1_?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
34,34,34,ocbcnisp,0.8796284794807434,"[[70.0, 622.0], [164.0, 622.0], [164.0, 644.0], [70.0, 644.0]]",POINT (117 633),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
35,35,35,gudang besar premiere o,0.941517174243927,"[[1416.0, 626.0], [1600.0, 626.0], [1600.0, 652.0], [1416.0, 652.0]]",POINT (1508 639),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
36,36,36,dago sukabumi,0.9776473641395568,"[[1008.0, 670.0], [1106.0, 668.0], [1106.0, 684.0], [1008.0, 686.0]]",POINT (1057 677),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9205148,106.9309918,Dago sukabumi,Tujuan Wisata,,"Alamat: 3WHJ+R9G, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,,3 minggu lalu,5 bintang,"https://www.google.com/maps/place/Dago+sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e684938be9745fd:0xfc7dabac10d16df4!8m2!3d-6.9205148!4d106.9309918!16s%2Fg%2F11v9w31x4d?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
37,37,37,sanya sukabumi,0.9696014523506165,"[[229.0, 687.0], [340.0, 692.0], [339.0, 712.0], [228.0, 707.0]]",POINT (284 699.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9205537,106.929963,Sanya Sukabumi,Toko Perlengkapan Rumah,,"Alamat: Jl. R. E. Martadinata No.38, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,2 minggu lalu,4 bintang,"https://www.google.com/maps/place/Sanya+Sukabumi/@-6.9205527,106.9296416,20z/data=!4m6!3m5!1s0x2e6848372d3aec95:0xc74edfcad2519dae!8m2!3d-6.9205537!4d106.929963!16s%2Fg%2F11g6yrq0g4?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
38,38,38,erafone mega,0.9865718483924866,"[[412.0, 692.0], [490.0, 692.0], [490.0, 706.0], [412.0, 706.0]]",POINT (451 699),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9205498,106.9300093,Erafone Megastore Sukabumi 2,Toko Elektronik,Telepon: (0266) 6222225 ,"Alamat: Jl. R. E. Martadinata No.38, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: erafone.com ,"Ka, mau tnya apakah ada no wa admin yg bisa dihubungi?",2 bulan lalu,3 bintang,"https://www.google.com/maps/place/Erafone+Megastore+Sukabumi+2/@-6.9205594,106.9296849,20z/data=!4m6!3m5!1s0x2e68495bf5703f29:0xfde1c93a03fec0f1!8m2!3d-6.9205498!4d106.9300093!16s%2Fg%2F11h34p3qzl?entry=ttu&g_ep=EgoyMDI0MTExMy4xIKXMDSoASAFQAw%3D%3D"
39,39,39,o halte dago sukabumi,0.9767509698867798,"[[1420.0, 690.0], [1586.0, 690.0], [1586.0, 716.0], [1420.0, 716.0]]",POINT (1503 703),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
40,40,40,-,0.893582820892334,"[[1876.0, 817.0], [1892.0, 817.0], [1892.0, 837.0], [1876.0, 837.0]]",POINT (1884 827),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
